Best Picture,Best Actor,Best Actress,Best Supporting Actor,Best Supporting Actress,Best Original Screenplay,Best Adapted Screenplay,Best Cinematography,Best Director,Best Animation,IMDB Top 250 Movies
"1988 - ""Rain Man""","1987 - Michael Douglas, ""Wall Street""","1985 - Geraldine Page, ""The Trip to Bountiful""","1996 - Cuba Gooding Jr., ""Jerry Maguire""","1996 - Juliette Binoche, ""The English Patient""","2000 - Cameron Crowe, ""Almost Famous""","1988 - ""Dangerous Liaisons""","1962 - Freddie Young, ""Lawrence of Arabia""","1987 - Bernardo Bertolucci, ""The Last Emperor""",,"1966 - ""Andrei Rublev"""
"1989 - ""Driving Miss Daisy""","1988 - Dustin Hoffman, ""Rain Man""","1986 - Marlee Matlin, ""Children of a Lesser God""","1997 - Robin Williams, ""Good Will Hunting""","1997 - Kim Basinger, ""L.A. Confidential""","2001 - Julian Fellowes, ""Gosford Park""","1989 - ""Driving Miss Daisy""","1963 - James Wong Howe, ""Hud""","1988 - Barry Levinson, ""Rain Man""",,"1966 - ""Persona"""
"1990 - ""Dances With Wolves""","1989 - Daniel Day-Lewis, ""My Left Foot""","1987 - Cher, ""Moonstruck""","1997 - James Coburn, ""Affliction""","1998 - Judi Dench, ""Shakespeare in Love""","2002 - Pedro Almodovar, ""Talk to Her""","1990 - ""Dances with Wolves""","1963 - Leon Shamroy, ""Cleopatra""","1989 - Oliver Stone, ""Born on the Fourth of July""",,"1966 - ""The Good, the Bad and the Ugly"""
"1991 - ""The Silence of the Lambs""","1990 - Jeremy Irons, ""Reversal of Fortune""","1988 - Jodie Foster, ""The Accused""","1999 - Michael Caine, ""The Cider House Rules""","1999 - Angelina Jolie, ""Girl, Interrupted""","2003 - Sofia Coppola, ""Lost in Translation""","1991 - ""The Silence of the Lambs""","1964 - Walter Lassally, ""Zorba the Greek""","1990 - Kevin Costner, ""Dances With Wolves""",,"1967 - ""Cool Hand Luke"""
"1992 - ""Unforgiven""","1991 - Anthony Hopkins, ""The Silence of the Lambs""","1989 - Jessica Tandy, ""Driving Miss Daisy""","2000 - Benicio Del Toro, ""Traffic""","2000 - Marcia Gay Harden, ""Pollock""","2004 - Charlie Kaufman, ""Eternal Sunshine of the Spotless Mind""","1992 - ""Howards End""","1964 - Harry Stradling, ""My Fair Lady""","1991 - Jonathan Demme, ""The Silence of the Lambs""",,"1968 - ""2001: A Space Odyssey"""
"1993 - ""Schindler’s List""","1992 - Al Pacino, ""Scent of a Woman""","1990 - Kathy Bates, ""Misery""","2001 - Jim Broadbent, ""Iris""","2001 - Jennifer Connelly, ""A Beautiful Mind""","2005 - Paul Haggis and Bobby Moresco, ""Crash""","1993 - ""Schindler's List""","1965 - Ernest Laszlo, ""Ship of Fools""","1992 - Clint Eastwood, ""Unforgiven""",,"1968 - ""Once Upon a Time in the West"""
"1994 - ""Forrest Gump""","1993 - Tom Hanks, ""Philadelphia""","1991 - Jodie Foster, ""The Silence of the Lambs""","2002 - Chris Cooper, ""Adaptation.""","2002 - Catherine Zeta-Jones, ""Chicago""","2006 - Michael Arndt, ""Little Miss Sunshine""","1994 - ""Forrest Gump""","1965 - Freddie Young, ""Doctor Zhivago""","1993 - Steven Spielberg, ""Schindler’s List""",,"1969 - ""Butch Cassidy and the Sundance Kid"""
"1995 - ""Braveheart""","1994 - Tom Hanks, ""Forrest Gump""","1992 - Emma Thompson, ""Howards End""","2003 - Tim Robbins, ""Mystic River""","2003 - Renée Zellweger, ""Cold Mountain""","2007 - Diablo Cody, ""Juno""","1995 - ""Sense and Sensibility""","1966 - Haskell Wexler, ""Who’s Afraid of Virginia Woolf?""","1994 - Robert Zemeckis, ""Forrest Gump""",,"1971 - ""A Clockwork Orange"""
"1996 - ""The English Patient""","1995 - Nicolas Cage, ""Leaving Las Vegas""","1993 - Holly Hunter, ""The Piano""","2004 - Morgan Freeman, ""Million Dollar Baby""","2004 - Cate Blanchett, ""The Aviator""","2008 - Dustin Lance Black, ""Milk""","1996 - ""Sling Blade""","1966 - Ted Moore, ""A Man for All Seasons""","1995 - Mel Gibson, ""Braveheart""",,"1972 - ""The Godfather"""
"1997 - ""Titanic""","1996 - Geoffrey Rush, ""Shine""","1994 - Jessica Lange, ""Blue Sky""","2005 - George Clooney, ""Syriana""","2005 - Rachel Weisz, ""The Constant Gardener""","2008 - Mark Boal, ""The Hurt Locker""","1997 - ""L.A. Confidential""","1967 - Burnett Guffey, ""Bonnie and Clyde""","1996 - Anthony Minghella, ""The English Patient""",,"1973 - ""Paper Moon"""
"1998 - ""Shakespeare in Love""","1997 - Jack Nicholson, ""As Good as It Gets""","1995 - Susan Sarandon, ""Dead Man Walking""","2006 - Alan Arkin, ""Little Miss Sunshine""","2006 - Jennifer Hudson, ""Dreamgirls""","2010 - David Seidler, ""The King’s Speech""","1998 - ""Gods and Monsters""","1968 - Pasqualino De Santis, ""Romeo and Juliet""","1997 - James Cameron, ""Titanic""",,"1973 - ""The Exorcist"""
"1999 - ""American Beauty""","1997 - Roberto Benigni, ""Life Is Beautiful""","1996 - Frances McDormand, ""Fargo""","2007 - Javier Bardem, ""No Country for Old Men""","2007 - Tilda Swinton, ""Michael Clayton""","2011 - Woody Allen, ""Midnight in Paris""","1999 - ""The Cider House Rules""","1969 - Conrad Hall, ""Butch Cassidy and the Sundance Kid""","1998 - Steven Spielberg, ""Saving Private Ryan""",,"1973 - ""The Sting"""
"2000 - ""Gladiator""","1999 - Kevin Spacey, ""American Beauty""","1997 - Helen Hunt, ""As Good as It Gets""","2008 - Heath Ledger, ""The Dark Knight""","2008 - Penélope Cruz, ""Vicky Cristina Barcelona""","2012 - Quentin Tarantino, ""Django Unchained""","2000 - ""Traffic""","1970 - Freddie Young, ""Ryan’s Daughter""","1999 - Sam Mendes, ""American Beauty""",,"1974 - ""Chinatown"""
"2001 - ""A Beautiful Mind""","2000 - Russell Crowe, ""Gladiator""","1998 - Gwyneth Paltrow, ""Shakespeare in Love""","2009 - Christoph Waltz, ""Inglourious Basterds""","2009 - Mo’Nique, ""Precious""","2013 - Spike Jonze, ""Her""","2001 - ""A Beautiful Mind""","1971 - Oswald Morris, ""Fiddler on the Roof""","2000 - Steven Soderbergh, ""Traffic""",,"1974 - ""The Godfather: Part II"""
"2002 - ""Chicago""","2001 - Denzel Washington, ""Training Day""","1999 - Hilary Swank, ""Boys Don’t Cry""","2010 - Christian Bale, ""The Fighter""","2010 - Melissa Leo, ""The Fighter""","2014 - Armando Bo, ""Birdman or (The Unexpected Virtue of Ignorance)""","2002 - ""The Pianist""","1972 - Geoffrey Unsworth, ""Cabaret""","2001 - Ron Howard, ""A Beautiful Mind""",,"1975 - ""Barry Lyndon"""
"2003 - ""The Lord of the Rings: The Return of the King""","2002 - Adrien Brody, ""The Pianist""","2000 - Julia Roberts, ""Erin Brockovich""","2010 - Christopher Plummer, ""Beginners""","2011 - Octavia Spencer, ""The Help""","2015 - Tom McCarthy and Josh Singer, ""Spotlight""","2003 - ""The Lord of the Rings: The Return of the King""","1972 - Sven Nykvist, ""Cries and Whispers""","2002 - Roman Polanski, ""The Pianist""",,"1975 - ""Jaws"""
"2004 - ""Million Dollar Baby""","2003 - Sean Penn, ""Mystic River""","2001 - Halle Berry, ""Monster’s Ball""","2012 - Christoph Waltz, ""Django Unchained""","2012 - Anne Hathaway, ""Les Misérables""","2016 - Kenneth Lonergan, ""Manchester by the Sea""","2004 - ""Sideways""","1974 - Fred J. Koenekamp, ""The Towering Inferno""","2003 - Peter Jackson, ""The Lord of the Rings - The Return of the King""",,"1975 - ""Monty Python and the Holy Grail"""
"2005 - ""Crash""","2004 - Jamie Foxx, ""Ray""","2002 - Nicole Kidman, ""The Hours""","2013 - Jared Leto, ""Dallas Buyers Club""","2013 - Lupita Nyong’o, ""12 Years a Slave""","2017 - Jordan Peele, ""Get Out""","2005 - ""Brokeback Mountain""","1975 - John Alcott, ""Barry Lyndon""","2004 - Clint Eastwood, ""Million Dollar Baby""",,"1975 - ""One Flew Over the Cuckoo's Nest"""
"2006 - ""The Departed""","2005 - Philip Seymour Hoffman, ""Capote""","2003 - Charlize Theron, ""Monster""","2014 - J.K. Simmons, ""Whiplash""","2014 - Patricia Arquette, ""Boyhood""","2018 - Brian Currie, ""Green Book""","2006 - ""The Departed""","1976 - Haskell Wexler, ""Bound for Glory""","2005 - Ang Lee, ""Brokeback Mountain""",,"1976 - ""Network"""
"2007 - ""No Country for Old Men""","2006 - Forest Whitaker, ""The Last King of Scotland""","2004 - Hilary Swank, ""Million Dollar Baby""","2015 - Mark Rylance, ""Bridge of Spies""","2015 - Alicia Vikander, ""The Danish Girl""","2019 - Bong Joon-ho and Han Jin-won, ""Parasite""","2007 - ""No Country for Old Men""","1977 - Vilmos Zsigmond, ""Close Encounters of the Third Kind""","2006 - Martin Scorsese, ""The Departed""",,"1976 - ""Rocky"""
"2008 - ""Slumdog Millionaire""","2007 - Daniel Day-Lewis, ""There Will Be Blood""","2005 - Reese Witherspoon, ""Walk the Line""","2016 - Mahershala Ali, ""Moonlight""","2016 - Viola Davis, ""Fences""","2020 - Emerald Fennelldouble-dagger, ""Promising Young Woman""","2008 - ""Slumdog Millionaire""","1978 - Néstor Almendros, ""Days of Heaven""","2007 - Ethan Coen & Joel Coen, ""No Country for Old Men""",,"1976 - ""Taxi Driver"""
"2008 - ""The Hurt Locker""","2008 - Sean Penn, ""Milk""","2006 - Helen Mirren, ""The Queen""","2017 - Sam Rockwell, ""Three Billboards Outside Ebbing, Missouri""","2017 - Allison Janney, ""I, Tonya""","2021 - Kenneth Branagh, ""Belfast""","2009 - ""Precious""","1979 - Vittorio Storaro, ""Apocalypse Now""","2008 - Danny Boyle, ""Slumdog Millionaire""",,"1977 - ""Star Wars- Episode IV : A New Hope"""
"2010 - ""The King’s Speech""","2009 - Jeff Bridges, ""Crazy Heart""","2007 - Marion Cotillard, ""La Vie en Rose""","2018 - Mahershala Ali, ""Green Book""","2018 - Regina King, ""If Beale Street Could Talk""",,"2010 - ""The Social Network""","1979 - Geoffrey Unsworth, ""Tess""","2008 - Kathryn Bigelow, ""The Hurt Locker""",,"1978 - ""The Deer Hunter"""
"2011 - ""The Artist""","2010 - Colin Firth, ""The King’s Speech""","2008 - Kate Winslet, ""The Reader""","2019 - Brad Pitt, ""Once Upon a Time... In Hollywood""","2019 - Laura Dern, ""Marriage Story""",,"2011 - ""The Descendants""","1981 - Vittorio Storaro, ""Reds""","2010 - Tom Hooper, ""The King’s Speech""",,"1979 - ""Alien"""
"2012 - ""Argo""","2011 - Jean Duhardin, ""The Artist""","2009 - Sandra Bullock, ""The Blind Side""","2021 - Daniel Kaluuya, ""Judas and the Black Messiah""","2020 - Yuh-Jung Youn, ""Minari""",,"2012 - ""Argo""","1982 - Billy Williams, ""Gandhi""","2011 - Michel Hazanavicius, ""The Artist""",,"1979 - ""Apocalypse Now"""
"2013 - ""12 Years a Slave""","2012 - Daniel Day-Lewis, ""Lincoln""","2010 - Natalie Portman, ""Black Swan""","2021 - Troy Kotsur, ""CODA""","2021 - Ariana DeBose, ""West Side Story""",,"2013 - ""12 Years a Slave""","1982 - Sven Nykvist, ""Fanny and Alexander""","2012 - Ang Lee, ""Life of Pi""",,"1979 - ""Monty Python's Life of Brian"""
"2014 - ""Birdman or (The Unexpected Virtue of Ignorance)""","2013 - Matthew McConaughey, ""Dallas Buyers Club""","2011 - Meryl Streep, ""The Iron Lady""",,,,"2014 - ""The Imitation Game""","1984 - Chris Menges, ""The Killing Fields""","2013 - Alfonso Cuarón, ""Gravity""",,"1979 - ""Stalker"""
"2015 - ""Spotlight""","2014 - Eddie Redmayne, ""The Theory of Everything""","2012 - Jennifer Lawrence, ""Silver Linings Playbook""",,,,"2015 - ""The Big Short""","1985 - David Watkin, ""Out of Africa""","2014 - Alejandro G. Iñárritu, ""Birdman or (The Unexpected Virtue of Ignorance)""",,"1980 - ""Raging Bull"""
"2016 - ""Moonlight""","2015 - Leonardo DiCaprio, ""The Revenant""","2013 - Cate Blanchett, ""Blue Jasmine""",,,,"2016 - ""Moonlight""","1986 - Chris Menges, ""The Mission""","2015 - Alejandro G. Iñárritu, ""The Revenant""",,"1980 - ""Star Wars- Episode V : The Empire Strikes Back"""
"2017 - ""The Shape of Water""","2016 - Casey Affleck, ""Manchester by the Sea""","2014 - Julianne Moore, ""Still Alice""",,,,"2017 - ""Call Me By Your Name""","1987 - Vittorio Storaro, ""The Last Emperor""","2016 - Damien Chazelle, ""La La Land""",,"1980 - ""The Elephant Man"""
"2018 - ""Green Book""","2017 - Gary Oldman, ""Darkest Hour""","2015 - Brie Larson, ""Room""",,,,"2018 - ""BlacKkKlansman""","1988 - Peter Biziou, ""Mississippi Burning""","2017 - Guillermo del Toro, ""The Shape of Water""",,"1980 - ""The Shining"""
"2019 - ""Parasite""","2018 - Rami Malek, ""Bohemian Rhapsody""","2016 - Emma Stone, ""La La Land""",,,,"2019 - ""Jojo Rabbit""","1989 - Freddie Francis, ""Glory""","2018 - Alfonso Cuarón, ""Roma""",,"1981 - ""Das Boot"""
"2020 - ""Nomadland""","2019 - Joaquin Phoenix, ""Joker""","2017 - Frances McDormand, ""Three Billboards outside Ebbing, Missouri""",,,,"2020 - ""The Father""","1990 - Dean Semler, ""Dances with Wolves""","2019 - Bong Joon Ho, ""Parasite""",,"1981 - ""Indiana Jones and the Raiders of the Lost Ark"""
"2021 - ""CODA""","2020 - Anthony Hopkins, ""The Father""","2018 - Olivia Colman, ""The Favourite""",,,,"2021 - ""CODA""","1991 - Robert Richardson, ""JFK""","2020 - Chloé Zhao, ""Nomadland""",,"1982 - ""Blade Runner"""
,"2021 - Will Smith, ""King Richard""","2019 - Renée ZellWeger, ""Judy""",,,,,"1992 - Phillipe Rousselot, ""A River Runs Through It""","2021 - Jane Campion, ""The Power of the Dog""",,"1982 - ""Gandhi"""
,,"2020 - Frances McDormand, ""Nomadland""",,,,,"1993 - Janusz Kamiński, ""Schindler’s List""",,,"1982 - ""The Thing"""
,,"2021 - Jessica Chastain, ""The Eyes of Tammy Faye""",,,,,"1994 - John Toll, ""Legends of the Fall""",,,"1983 - ""Scarface"""
,,,,,,,"1995 - John Toll, ""Braveheart""",,,"1983 - ""Star Wars- Episode VI : Return of the Jedi"""
,,,,,,,"1996 - John Seale, ""The English Patient""",,,"1984 - ""Amadeus"""
,,,,,,,"1997 - Russell Carpenter, ""Titanic""",,,"1984 - ""Nausicaä of the Valley of the Wind"""
,,,,,,,"1998 - Janusz Kamiński, ""Saving Private Ryan""",,,"1984 - ""Once Upon a Time in America"""
,,,,,,,"1999 - Conrad L. Hall, ""American Beauty""",,,"1984 - ""Paris, Texas"""
,,,,,,,"2000 - Peter Pau, ""Crouching Tiger, Hidden Dragon""",,,"1984 - ""The Terminator"""
,,,,,,,"2001 - Andrew Lesnie, ""The Lord of the Rings: The Fellowship of the Ring""",,,"1985 - ""Back to the Future"""
,,,,,,,"2002 - Conrad L. Hall, ""Road to Perdition""",,,"1985 - ""Come and See"""
,,,,,,,"2003 - Russell Boyd, ""Master and Commander: The Far Side of the World""",,,"1985 - ""Ran"""
,,,,,,,"2004 - Robert Richardson, ""The Aviator""",,,"1986 - ""Aliens"""
,,,,,,,"2005 - Dion Beebe, ""Memoirs of a Geisha""",,,"1986 - ""Castle in the Sky"""
,,,,,,,"2006 - Guillermo Navarro, ""Pan’s Labyrinth""",,,"1986 - ""Platoon"""
,,,,,,,"2007 - Robert Elswit, ""There Will Be Blood""",,,"1986 - ""Stand by Me"""
,,,,,,,"2008 - Anthony Dod Mantle, ""Slumdog Millionaire""",,,"1987 - ""Full Metal Jacket"""
,,,,,,,"2009 - Mauro Fiore, ""Avatar""",,,"1987 - ""The Princess Bride"""
,,,,,,,"2010 - Wally Pfister, ""Inception""",,,"1988 - ""Cinema Paradiso"""
,,,,,,,"2011 - Robert Richardson, ""Hugo""",,,"1988 - ""Die Hard"""
,,,,,,,"2012 - Claudio Miranda, ""Life of Pi""",,,"1988 - ""Grave of the Fireflies"""
,,,,,,,"2013 - Emmanuel Lubezki, ""Gravity""",,,"1988 - ""My Neighbor Totoro"""
,,,,,,,"2014 - Emmanuel Lubezki, ""Birdman or (The Unexpected Virtue of Ignorance)""",,,"1989 - ""Dead Poets Society"""
,,,,,,,"2015 - Emmanuel Lubezki, ""The Revenant""",,,"1989 - ""Indiana Jones and the Last Crusade"""
,,,,,,,"2016 - Linus Sandgren, ""La La Land""",,,"1990 - ""Goodfellas"""
,,,,,,,"2017 - Roger Deakins, ""Blade Runner 2049""",,,"1991 - ""Terminator 2: Judgment Day"""
,,,,,,,"2018 - Alfonso Cuarón, ""Roma""",,,"1991 - ""The Silence of the Lambs"""
,,,,,,,"2019 - Roger Deakins, ""1917""",,,"1992 - ""Reservoir Dogs"""
,,,,,,,"2020 - Erik Messerschmidt, ""Mank""",,,"1992 - ""Unforgiven"""
,,,,,,,"2021 - Greig Fraser, ""Dune""",,,"1993 - ""Groundhog Day"""
,,,,,,,,,,"1993 - ""In the Name of the Father"""
,,,,,,,,,,"1993 - ""Jurassic Park"""
,,,,,,,,,,"1993 - ""Schindler's List"""
,,,,,,,,,,"1994 - ""Forrest Gump"""
,,,,,,,,,,"1994 - ""Léon: The Professional"""
,,,,,,,,,,"1994 - ""Pulp Fiction"""
,,,,,,,,,,"1994 - ""The Lion King"""
,,,,,,,,,,"1994 - ""The Shawshank Redemption"""
,,,,,,,,,,"1994 - ""Three Colors: Red"""
,,,,,,,,,,"1995 - ""Before Sunrise"""
,,,,,,,,,,"1995 - ""Braveheart"""
,,,,,,,,,,"1995 - ""Casino"""
,,,,,,,,,,"1995 - ""Heat"""
,,,,,,,,,,"1995 - ""La Haine"""
,,,,,,,,,,"1995 - ""Se7en"""
,,,,,,,,,,"1995 - ""The Usual Suspects"""
,,,,,,,,,,"1995 - ""Toy Story"""
,,,,,,,,,,"1996 - ""Fargo"""
,,,,,,,,,,"1996 - ""The Bandit"""
,,,,,,,,,,"1996 - ""Trainspotting"""
,,,,,,,,,,"1997 - ""Children of Heaven"""
,,,,,,,,,,"1997 - ""Good Will Hunting"""
,,,,,,,,,,"1997 - ""L.A. Confidential"""
,,,,,,,,,,"1997 - ""Life Is Beautiful"""
,,,,,,,,,,"1997 - ""Princess Mononoke"""
,,,,,,,,,,"1998 - ""American History X"""
,,,,,,,,,,"1998 - ""Lock, Stock and Two Smoking Barrels"""
,,,,,,,,,,"1998 - ""Saving Private Ryan"""
,,,,,,,,,,"1998 - ""The Big Lebowski"""
,,,,,,,,,,"1998 - ""The Truman Show"""
,,,,,,,,,,"1999 - ""American Beauty"""
,,,,,,,,,,"1999 - ""Fight Club"""
,,,,,,,,,,"1999 - ""The Green Mile"""
,,,,,,,,,,"1999 - ""The Matrix"""
,,,,,,,,,,"1999 - ""The Sixth Sense"""
,,,,,,,,,,"2000 - ""Amores Perros"""
,,,,,,,,,,"2000 - ""Gladiator"""
,,,,,,,,,,"2000 - ""In the Mood for Love"""
,,,,,,,,,,"2000 - ""Memento"""
,,,,,,,,,,"2000 - ""Requiem for a Dream"""
,,,,,,,,,,"2000 - ""Snatch"""
,,,,,,,,,,"2001 - ""A Beautiful Mind"""
,,,,,,,,,,"2001 - ""Amélie"""
,,,,,,,,,,"2001 - ""Donnie Darko"""
,,,,,,,,,,"2001 - ""Monsters, Inc."""
,,,,,,,,,,"2001 - ""Spirited Away"""
,,,,,,,,,,"2001 - ""The Lord of the Rings: The Fellowship of the Ring"""
,,,,,,,,,,"2002 - ""Catch Me If You Can"""
,,,,,,,,,,"2002 - ""City of God"""
,,,,,,,,,,"2002 - ""The Lord of the Rings: The Two Towers"""
,,,,,,,,,,"2002 - ""The Pianist"""
,,,,,,,,,,"2003 - ""Finding Nemo"""
,,,,,,,,,,"2003 - ""Kill Bill: Vol. 1"""
,,,,,,,,,,"2003 - ""Memories of Murder"""
,,,,,,,,,,"2003 - ""Oldboy"""
,,,,,,,,,,"2003 - ""Pirates of the Caribbean: The Curse of the Black Pearl"""
,,,,,,,,,,"2003 - ""The Lord of the Rings: The Return of the King"""
,,,,,,,,,,"2004 - ""Before Sunset"""
,,,,,,,,,,"2004 - ""Downfall"""
,,,,,,,,,,"2004 - ""Eternal Sunshine of the Spotless Mind"""
,,,,,,,,,,"2004 - ""Hotel Rwanda"""
,,,,,,,,,,"2004 - ""Howl's Moving Castle"""
,,,,,,,,,,"2004 - ""Million Dollar Baby"""
,,,,,,,,,,"2005 - ""Batman Begins"""
,,,,,,,,,,"2005 - ""My Father and My Son"""
,,,,,,,,,,"2006 - ""V for Vendetta"""
,,,,,,,,,,"2006 - ""Pan's Labyrinth"""
,,,,,,,,,,"2006 - ""Rang De Basanti"""
,,,,,,,,,,"2006 - ""The Departed"""
,,,,,,,,,,"2006 - ""The Lives of Others"""
,,,,,,,,,,"2006 - ""The Prestige"""
,,,,,,,,,,"2007 - ""Into the Wild"""
,,,,,,,,,,"2007 - ""Like Stars on Earth"""
,,,,,,,,,,"2007 - ""No Country for Old Men"""
,,,,,,,,,,"2007 - ""There Will Be Blood"""
,,,,,,,,,,"2008 - ""Gran Torino"""
,,,,,,,,,,"2008 - ""The Dark Knight"""
,,,,,,,,,,"2008 - ""WALL·E"""
,,,,,,,,,,"2009 - ""3 Idiots"""
,,,,,,,,,,"2009 - ""Hachi: A Dog's Tale"""
,,,,,,,,,,"2009 - ""Inglourious Basterds"""
,,,,,,,,,,"2009 - ""Mary and Max"""
,,,,,,,,,,"2009 - ""The Secret in Their Eyes"""
,,,,,,,,,,"2009 - ""Up"""
,,,,,,,,,,"2010 - ""How to Train Your Dragon"""
,,,,,,,,,,"2010 - ""Incendies"""
,,,,,,,,,,"2010 - ""Inception"""
,,,,,,,,,,"2010 - ""Shutter Island"""
,,,,,,,,,,"2010 - ""Toy Story 3"""
,,,,,,,,,,"2011 - ""A Separation"""
,,,,,,,,,,"2011 - ""Harry Potter and the Deathly Hallows: Part 2"""
,,,,,,,,,,"2011 - ""The Help"""
,,,,,,,,,,"2011 - ""The Intouchables"""
,,,,,,,,,,"2011 - ""Warrior"""
,,,,,,,,,,"2012 - ""Django Unchained"""
,,,,,,,,,,"2012 - ""Gangs of Wasseypur"""
,,,,,,,,,,"2012 - ""The Dark Knight Rises"""
,,,,,,,,,,"2012 - ""The Hunt"""
,,,,,,,,,,"2013 - ""12 Years a Slave"""
,,,,,,,,,,"2013 - ""Prisoners"""
,,,,,,,,,,"2013 - ""Rush"""
,,,,,,,,,,"2013 - ""Tangerines"""
,,,,,,,,,,"2013 - ""The Wolf of Wall Street"""
,,,,,,,,,,"2014 - ""Gone Girl"""
,,,,,,,,,,"2014 - ""Guardians of the Galaxy"""
,,,,,,,,,,"2014 - ""Interstellar"""
,,,,,,,,,,"2014 - ""PK"""
,,,,,,,,,,"2014 - ""The Grand Budapest Hotel"""
,,,,,,,,,,"2014 - ""Whiplash"""
,,,,,,,,,,"2014 - ""Wild Tales"""
,,,,,,,,,,"2015 - ""Inside Out"""
,,,,,,,,,,"2015 - ""Mad Max: Fury Road"""
,,,,,,,,,,"2015 - ""Room"""
,,,,,,,,,,"2015 - ""Spotlight"""
,,,,,,,,,,"2016 - ""Dangal"""
,,,,,,,,,,"2016 - ""Hacksaw Ridge"""
,,,,,,,,,,"2016 - ""The Handmaiden"""
,,,,,,,,,,"2016 - ""Your Name."""
,,,,,,,,,,"2017 - ""Coco"""
,,,,,,,,,,"2017 - ""Logan"""
,,,,,,,,,,"2017 - ""Three Billboards Outside Ebbing, Missouri"""
,,,,,,,,,,"2018 - ""Andhadhun"""
,,,,,,,,,,"2018 - ""Avengers: Infinity War"""
,,,,,,,,,,"2018 - ""Bohemian Rhapsody"""
,,,,,,,,,,"2018 - ""Green Book"""
,,,,,,,,,,"2018 - ""Spider-Man: Into the Spider-Verse"""
